gamenum,position,R_firstdragon,R_infernals,R_mountains,R_clouds,R_oceans,R_firstherald,R_firstbaron,R_firsttower,R_firstmidtower,R_firsttothreetowers,R_dragonsdiff,R_elementaldrakesdiff,R_eldersdiff,R_heraldsdiff,R_baronsdiff,R_towersdiff,R_inhibitorsdiff,B_firstdragon,B_infernals,B_mountains,B_clouds,B_oceans,B_firstherald,B_firstbaron,B_firsttower,B_firstmidtower,B_firsttothreetowers,B_elementaldrakesdiff,B_eldersdiff,B_heraldsdiff,B_baronsdiff,B_towersdiff,B_inhibitorsdiff,res
0,0.09649658203192489,0.0,0.0,0.0,0.0,0.5491795392049249,0.09696960506379769,0.7095338146793758,0.09649704408774783,0.22588346955716818,0.0,0.0,0.0,0.1627530792147559,-0.7732964706547247,-6.9000964816469885,-2.0313765097148506,0.8114246707965638,0.0,0.0,0.0,0.0,0.34344528522126033,0.7767109252287039,0.4811329222391207,0.8456649315172602,0.8451916632017145,0.0,0.0,0.0,-0.15877485368617394,0.8452838307981412,6.666384644392981,1.900199595816449,Red
1,0.5328006744384977,0.0,0.0,0.0,0.0,0.2896227981001539,0.5328154564082437,0.8546924629587305,0.5328006888777421,0.5973908896736615,0.0,0.0,0.0,0.09590634622546113,0.5661665165420399,0.7531219849485316,0.874996046571411,0.4318511615873926,0.0,0.0,0.0,0.0,0.1977443839131644,0.416606200788397,0.25868774756997254,0.44708132598491435,0.44706653635005356,0.0,0.0,0.0,-0.051592573552692936,-0.4137704271625581,-0.39958563611271936,-0.753118762630736,Red
2,0.007710504170972855,0.0,0.0,0.0,0.0,0.242316501550235,0.7495127201982547,0.4920896054828784,0.02272133791164788,0.3860045590481468,0.0,0.0,0.0,-0.4769696531266411,0.8096429036412519,3.33511743536331,0.9152946470961478,0.9561136429187496,0.0,0.0,0.0,0.0,0.47116692335155985,0.2160619081482174,0.6835558681563589,0.4545882288002315,0.21240072834888762,0.0,0.0,0.0,-0.018266344988206562,-0.047971001294774246,-1.6249969355968052,-1.8382035253528635,Red
3,0.0002409532553429017,0.0,0.0,0.0,0.0,0.6130411406734448,0.8710785225061954,0.7419403001713399,0.485085041809739,0.6780782674702546,0.0,0.0,0.0,0.24241891708979246,1.387606028238789,6.037816169855104,1.4363178014717546,0.983491832591211,0.0,0.0,0.0,0.0,0.24177474760473625,0.11270896587963179,0.35436893337988623,0.24125666340000723,0.11259455401090274,0.0,0.0,0.0,-0.5000825420308814,-0.9853858125404618,-5.1518553729874,-1.934396985167277,Red
4,0.11206078218091342,0.0,0.0,0.0,0.0,0.5129888097076889,0.11291120949463496,0.0007245510743860742,0.11253426273614232,0.11272273268307642,0.0,0.0,0.0,0.2324755067549705,-1.3315916933317982,-4.7773678553028756,-1.44360467011575,0.6762534099927648,0.0,0.0,0.0,0.0,0.24822194799570774,0.7511476650057418,0.8468426454427538,0.9421911686166016,0.9420655220254013,0.0,0.0,0.0,-0.34323128177932705,1.223555531433066,5.757206440065442,1.4026519560691726,Red
5,0.5406112744431535,0.0,0.0,0.0,0.0,0.2714019940533653,0.5406378502967073,0.48439764222107456,0.5406260707105044,0.5406319603963461,0.0,0.0,0.0,-0.3535749841639072,-0.2129989591666187,0.9049064732717851,-0.2692337396911172,0.3531641690622739,0.0,0.0,0.0,0.0,0.6088311546248659,0.39114914578142945,0.43906148892008606,0.48696300526926883,0.4869590788132938,0.0,0.0,0.0,0.298111913069396,0.1585974384822833,-0.41359315812295494,0.24891099862716165,Red
6,0.47670847267810645,0.0,0.0,0.0,0.0,0.25093510122976237,0.47003015602164455,0.47877307743588915,0.2358182457525487,0.11383637500981934,0.0,0.0,0.0,-0.4814309891139406,-0.5516061749327382,-5.152794392738743,-2.3366698161275004,0.3617035037206421,0.0,0.0,0.0,0.0,0.8669670738971003,0.7390145619452402,0.8793888592689442,0.38257024781585136,0.3683637859748382,0.0,0.0,0.0,0.7589660552808806,0.5879605982015356,3.388032630472843,0.5888869325799523,Red
7,0.6761215050055658,0.0,0.0,0.0,0.0,0.4410387433978051,0.3841647607350514,0.45435374851362154,0.19837884166414216,0.18748683007843187,0.0,0.0,0.0,-0.10870316567543564,-0.672419577732273,-2.7288043657887107,-1.2003402676914843,0.23835401574127008,0.0,0.0,0.0,0.0,0.6249931116842844,0.7345199863107887,0.7389066831021545,0.6022873514942453,0.5412965245617136,0.0,0.0,0.0,0.2583368298525275,0.7070944718187979,1.8693037540772763,0.29843201351812354,Red
8,0.13465418765642392,0.0,0.0,0.0,0.0,0.3127326560436814,0.8520930393979703,0.3699114452660507,0.3013653544270044,0.27075154156495096,0.0,0.0,0.0,-0.3704624036148574,0.32334723975836643,-3.078561269243397,-0.8662459849278589,0.8224357456091022,0.0,0.0,0.0,0.0,0.7205045454823213,0.20769190875189963,0.7271618787688173,0.5987012404763827,0.5932552380722411,0.0,0.0,0.0,0.445618802300079,-0.30549424013847504,2.6495259718071025,0.41441633245369136,Blue
9,0.7534755214892632,0.0,0.0,0.0,0.0,0.6303783642513651,0.7758954856061866,0.9121944982895641,0.7586852454508439,0.7880020012989047,0.0,0.0,0.0,0.5182082061370357,0.7896456168674489,5.231919960336144,1.8952930942210044,0.7786308045502844,0.0,0.0,0.0,0.0,0.6345763139213225,0.27504505964849685,0.7492863087115256,0.771639101264887,0.7714689136897576,0.0,0.0,0.0,0.31788066569687745,-0.09524005437932734,4.000522295993972,0.3852649635141778,Blue
10,0.6592882975465395,0.0,0.0,0.0,0.0,0.5040743238828551,0.11506704642519333,0.6642482655715489,0.7199979764203388,0.5998203750405908,0.0,0.0,0.0,0.046467443941782365,-1.0954407619728923,-3.1968540637394955,-0.6370611533055937,0.19034783764219637,0.0,0.0,0.0,0.0,0.3203676191850413,0.1924330487390155,0.22971402527223517,0.2528734875395277,0.2528681691778049,0.0,0.0,0.0,-0.32002228388447257,0.05720441236314602,-3.5623616079376883,-0.36979640739018194,Red
11,0.8814426030483293,0.0,0.0,0.0,0.0,0.3217825960588392,0.6222481889507873,0.868414008299111,0.39896478051313555,0.8795842304700184,0.0,0.0,0.0,0.1534296466856807,0.8916707965008471,6.218335615195641,1.6193740655217002,0.38058215898881864,0.0,0.0,0.0,0.0,0.32031422247453256,0.38064732183559424,0.45749594610225736,0.8669110855481102,0.3976726380993064,0.0,0.0,0.0,0.2548918817536102,-0.5771918543011517,-1.8066363002480528,-0.5034994971059432,Blue
